timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-01-29,527.4,527.43,523.4,525.5,525.5,347790,0.0,1.0
2021-01-28,525.5,528.1,525.0,525.2,525.2,66516,0.0,1.0
2021-01-27,527.7,527.8,523.4,526.2,526.2,98662,0.0,1.0
2021-01-26,528.6,528.6,525.0,525.7,525.7,68418,0.0,1.0
2021-01-25,525.0,527.1,524.7,526.4,526.4,61915,0.0,1.0
2021-01-22,524.3,525.5,523.51,525.0,525.0,98059,0.0,1.0
2021-01-21,525.9,526.2,524.01,524.8,524.8,63455,0.0,1.0
2021-01-20,523.1,527.21,523.1,525.45,525.45,64860,0.0,1.0
2021-01-19,523.2,526.2,522.2,524.0,524.0,50620,0.0,1.0
2021-01-18,522.4,528.0,522.4,524.95,524.95,199761,0.0,1.0
2021-01-15,525.7,527.3,524.21,525.15,525.15,41121,0.0,1.0
2021-01-14,530.3,530.3,524.41,525.6,525.6,234627,0.0003,1.0
2021-01-13,527.8,530.23,526.91,528.5,528.5,91331,0.0,1.0
2021-01-12,528.0,528.6,526.11,526.55,526.55,57558,0.0,1.0
2021-01-11,526.7,531.3,526.7,527.55,527.55,160400,0.0,1.0
2021-01-08,529.0,530.5,527.8,528.25,528.2497,435236,0.0,1.0
2021-01-07,528.1,530.1,527.9,528.3,528.2997,63732,0.0,1.0
2021-01-06,529.3,531.5,526.3,528.55,528.5497,82393,0.0,1.0
2021-01-05,531.6,533.2,529.1,530.3,530.2997,48443,0.0,1.0
2021-01-04,527.8,532.3,527.8,531.1,531.0997,275046,0.0,1.0
2020-12-31,532.0,532.7,527.8,531.05,531.0497,53081,0.0,1.0
2020-12-30,530.8,532.5,529.6,530.5,530.4997,80849,0.0,1.0
2020-12-29,533.2,533.2,527.5,530.9,530.8997,78154,0.0,1.0
2020-12-24,530.6,532.6,528.5,532.4,532.3997,49300,0.0,1.0
2020-12-23,530.8,533.3,529.9,529.9,529.8997,94972,0.0,1.0
2020-12-22,530.9,532.1,529.3,532.1,532.0997,25700,0.0,1.0
2020-12-21,532.9,532.9,529.5,529.75,529.7497,146190,0.0,1.0
2020-12-18,529.9,530.3,529.2,530.2,530.1997,33448,0.0,1.0
2020-12-17,532.1,532.1,529.3,529.75,529.7497,84559,0.0,1.0
2020-12-16,530.5,532.4,529.4,529.75,529.7497,73259,0.0,1.0
2020-12-15,531.1,531.1,530.0,530.0,529.9997,98535,0.0,1.0
2020-12-14,531.9,533.3,528.7,531.25,531.2497,74479,0.0,1.0
2020-12-11,530.2,531.8,529.8,531.0,530.9997,70793,0.0,1.0
2020-12-10,529.9,530.3,528.9,529.95,529.9497,70824,0.0,1.0
2020-12-09,529.9,532.3,527.0,529.35,529.3497,36849,0.0,1.0
2020-12-08,529.1,531.9,527.2,529.65,529.6497,95190,0.0,1.0
2020-12-07,528.5,530.9,526.4,529.3,529.2997,127211,0.0,1.0
2020-12-04,528.8,530.6,527.8,528.6,528.5997,1000602,0.0,1.0
2020-12-03,528.4,530.9,528.3,528.8,528.7997,214182,0.0,1.0
2020-12-02,528.4,531.2,527.7,528.35,528.3497,215087,0.0,1.0
2020-12-01,532.9,532.9,527.8,528.85,528.8497,126784,0.0,1.0
2020-11-30,529.5,532.4,527.6,529.9,529.8997,68046,0.0,1.0
2020-11-27,529.9,532.3,527.9,529.65,529.6497,198875,0.0,1.0
2020-11-26,531.9,531.9,527.0,529.95,529.9497,81500,0.0,1.0
2020-11-25,530.5,531.8,528.1,529.6,529.5997,50337,0.0,1.0
2020-11-24,529.7,531.4,528.9,529.25,529.2497,45716,0.0,1.0
2020-11-23,529.3,532.2,528.6,530.3,530.2997,201443,0.0,1.0
2020-11-20,529.8,530.9,529.5,530.9,530.8997,137982,0.0,1.0
2020-11-19,529.9,530.6,529.0,530.5,530.4997,85072,0.0,1.0
2020-11-18,528.1,529.9,526.4,528.2,528.1997,209405,0.0,1.0
2020-11-17,527.4,529.5,527.0,528.1,528.0997,162132,0.0,1.0
2020-11-16,527.1,529.3,527.0,527.75,527.7497,100852,0.0,1.0
2020-11-13,528.0,529.6,526.8,527.6,527.5997,97855,0.0,1.0
2020-11-12,528.0,528.0,525.9,526.8,526.7997,29697,0.0,1.0
2020-11-11,528.6,528.6,525.8,526.7,526.6997,86081,0.0,1.0
2020-11-10,527.0,528.4,524.1,528.0,527.9997,98001,0.0,1.0
2020-11-09,531.3,531.3,525.2,526.8,526.7997,64668,0.0,1.0
2020-11-06,530.0,530.0,528.2,528.4,528.3997,36266,0.0,1.0
2020-11-05,528.8,529.9,528.4,528.7,528.6997,83142,0.0,1.0
2020-11-04,528.3,529.8,528.3,529.6,529.5997,31015,0.0,1.0
2020-11-03,527.0,527.9,525.6,527.6,527.5997,26340,0.0,1.0
2020-11-02,526.8,528.4,525.9,527.35,527.3497,65281,0.0,1.0
2020-10-30,529.5,529.5,526.4,527.15,527.1497,20740,0.0,1.0
2020-10-29,529.1,529.1,526.6,527.2,527.1997,17534,0.0,1.0
2020-10-28,528.0,528.9,527.4,528.8,528.7997,123270,0.0,1.0
2020-10-27,527.6,528.1,526.5,527.9,527.8997,96381,0.0,1.0
2020-10-26,529.0,529.1,526.5,526.7,526.6997,166958,0.0,1.0
2020-10-23,526.9,529.5,525.9,526.55,526.5497,14709,0.0,1.0
2020-10-22,525.7,529.6,525.7,526.55,526.5497,61338,0.0,1.0
2020-10-21,529.4,529.4,526.6,527.75,527.7497,38055,0.0,1.0
2020-10-20,529.3,529.6,527.0,527.9,527.8997,63175,0.0,1.0
2020-10-19,528.5,529.9,527.1,528.1,528.0997,75724,0.0,1.0
2020-10-16,531.2,531.2,528.5,529.25,529.2497,46165,0.0,1.0
2020-10-15,529.5,530.3,528.5,529.9,529.8997,15401,0.0,1.0
2020-10-14,529.3,530.8,525.5,528.45,528.4497,67703,0.0,1.0
2020-10-13,527.6,529.6,527.3,528.6,528.5997,47380,0.0,1.0
2020-10-12,527.6,529.8,524.0,527.2,527.1997,35032,0.0,1.0
2020-10-09,526.6,529.3,525.5,526.9,526.8997,294034,0.0,1.0
2020-10-08,529.9,529.9,523.7,526.2,526.1997,55228,0.0,1.0
2020-10-07,526.7,526.7,523.0,525.6,525.5997,26896,0.0,1.0
2020-10-06,524.8,526.9,524.8,525.7,525.6997,76228,0.0,1.0
2020-10-05,530.6,530.6,525.3,526.3,526.2997,229088,0.0,1.0
2020-10-02,528.9,530.9,526.2,527.35,527.3497,98071,0.0,1.0
2020-10-01,529.4,530.9,525.1,526.6,526.5997,22805,0.0,1.0
2020-09-30,529.2,529.6,526.3,526.7,526.6997,185188,0.0,1.0
2020-09-29,527.6,528.0,526.8,527.55,527.5497,100607,0.0,1.0
2020-09-28,530.0,530.0,525.5,527.1,527.0997,52523,0.0,1.0
2020-09-25,529.4,529.4,525.1,527.3,527.2997,40710,0.0,1.0
2020-09-24,527.7,528.1,526.7,527.15,527.1497,33804,0.0,1.0
2020-09-23,530.6,530.6,526.4,527.1,527.0997,44228,0.0,1.0
2020-09-22,528.2,529.2,526.8,527.25,527.2497,42410,0.0,1.0
2020-09-21,528.2,529.0,527.1,527.9,527.8997,11340,0.0,1.0
2020-09-18,528.5,528.6,528.0,528.0,527.9997,54857,0.0,1.0
2020-09-17,530.2,530.5,526.8,527.95,527.9497,125584,0.0,1.0
2020-09-16,527.6,528.3,526.9,527.3,527.2997,35766,0.0,1.0
2020-09-15,527.3,529.8,523.9,527.2,527.1997,49975,0.0,1.0
2020-09-14,530.3,530.3,525.1,527.35,527.3497,14779,0.0,1.0
2020-09-11,527.4,529.1,525.9,527.5,527.4997,58538,0.0,1.0
2020-09-10,526.8,528.5,524.9,525.45,525.4497,79816,0.0,1.0
2020-09-09,526.1,527.7,524.4,526.5,526.4997,31061,0.0,1.0
