timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-01-29,98.34,98.6057,97.9548,98.24,98.24,5990,0.0,1.0
2021-01-28,98.67,98.75,98.13,98.13,98.115,2071,0.0,1.0
2021-01-27,98.11,98.57,98.0056,98.255,98.255,21412,0.0,1.0
2021-01-26,98.89,98.89,98.1,98.1,98.035,20847,0.0,1.0
2021-01-25,98.27,98.63,98.2,98.6,98.6,24337,0.0,1.0
2021-01-22,98.48,98.7057,98.4648,98.47,98.47,139809,0.0,1.0
2021-01-21,98.2,98.2365,98.02,98.08,98.08,2900,0.0,1.0
2021-01-20,98.35,98.65,98.13,98.65,98.685,9283,0.0,1.0
2021-01-19,98.91,98.9457,98.8,98.885,98.885,18800,0.0,1.0
2021-01-18,99.32,99.49,99.16,99.16,99.15,6101,0.0,1.0
2021-01-15,98.55,99.1557,98.49,99.005,99.005,6402,0.0,1.0
2021-01-14,98.62,98.76,98.36,98.36,98.305,3347,0.0,1.0
2021-01-13,98.38,98.76,98.22,98.74,98.74,5538,0.0,1.0
2021-01-12,99.29,99.32,98.681,98.8,98.8,16513,0.0,1.0
2021-01-11,99.76,99.96,99.66,99.71,99.71,2415,0.0,1.0
2021-01-08,98.96,99.26,98.86,99.155,99.155,1368,0.0,1.0
2021-01-07,99.17,99.35,98.89,99.265,99.265,5985,0.0,1.0
2021-01-06,98.71,99.4,98.45,99.105,99.105,14575,0.0,1.0
2021-01-05,99.09,99.25,98.85,98.93,98.93,711,0.0,1.0
2021-01-04,98.89,99.23,98.31,99.075,99.075,46302,0.0,1.0
2020-12-31,98.65,98.66,98.43,98.6,98.6,6129,0.0,1.0
2020-12-30,99.49,99.495,98.84,99.045,99.045,6031,0.0,1.0
2020-12-29,99.64,99.97,99.57,99.66,99.66,15405,0.0,1.0
2020-12-24,99.31,99.31,98.87,99.1,99.1,5925,0.0,1.0
2020-12-23,100.2,100.4,99.49,99.7,99.7,12335,0.0,1.0
2020-12-22,100.18,100.95,100.16,100.91,100.91,12626,0.0,1.0
2020-12-21,101.38,102.0,100.94,100.955,100.955,4826,0.0,1.0
2020-12-18,99.44,99.845,99.35,99.775,99.775,8031,0.0,1.0
2020-12-17,99.17,99.23,98.85,98.98,98.98,41521,0.0,1.0
2020-12-16,99.87,99.87,99.4066,99.785,99.785,55209,0.0,1.0
2020-12-15,101.25,101.25,100.44,100.44,100.44,26199,0.0,1.0
2020-12-14,100.44,101.0608,100.1,101.06,101.06,31688,0.0,1.0
2020-12-11,101.8,102.43,101.3332,101.825,101.825,49092,0.0,1.0
2020-12-10,101.0,101.35,100.9206,101.27,101.27,14050,0.0,1.0
2020-12-09,100.48,100.58,99.8758,100.58,100.58,16855,0.0,1.0
2020-12-08,100.88,101.22,100.56,100.74,100.74,13453,0.0,1.0
2020-12-07,101.25,101.72,100.2878,100.76,100.76,43087,0.0,1.0
2020-12-04,100.29,100.29,99.44,99.855,99.855,28234,0.0,1.0
2020-12-03,100.35,100.4,99.69,99.715,99.715,18045,0.0,1.0
2020-12-02,100.66,101.18,100.6458,100.82,100.82,4463,0.0,1.0
2020-12-01,100.57,101.0466,100.32,100.32,100.32,9777,0.0,1.0
2020-11-30,100.97,101.105,100.5948,100.82,100.82,8563,0.0,1.0
2020-11-27,100.66,101.03,100.5542,101.03,101.03,5005,0.0,1.0
2020-11-26,100.66,100.98,100.5742,100.9,100.9,3529,0.0,1.0
2020-11-25,100.64,100.96,100.4305,100.56,100.56,8518,0.0,1.0
2020-11-24,100.62,101.06,100.565,100.72,100.72,39630,0.0,1.0
2020-11-23,100.8,101.19,100.42,101.19,101.19,48338,0.0,1.0
2020-11-20,101.5,101.5,101.2,101.2,101.2,9230,0.0,1.0
2020-11-19,101.6,101.85,101.46,101.665,101.665,4878,0.0,1.0
2020-11-18,101.24,101.36,101.0,101.155,101.155,7021,0.0,1.0
2020-11-17,101.68,101.8067,101.36,101.44,101.44,31131,0.0,1.0
2020-11-16,101.74,102.14,101.58,101.895,101.895,30269,0.0,1.0
2020-11-13,102.03,102.26,101.96,102.14,102.14,8318,0.0,1.0
2020-11-12,101.94,102.4005,101.84,102.335,102.335,5710,0.0,1.0
2020-11-11,101.08,101.815,101.08,101.815,101.815,20594,0.0,1.0
2020-11-10,101.94,102.06,101.3359,101.64,101.64,6054,0.0,1.0
2020-11-09,102.25,102.48,101.84,102.315,102.315,18256,0.0,1.0
2020-11-06,102.47,102.61,102.2849,102.2849,102.2849,13616,0.0,1.0
2020-11-05,103.33,103.4,102.63,102.7,102.7,4335,0.0,1.0
2020-11-04,104.07,104.07,103.16,103.675,103.675,4080,0.0,1.0
2020-11-03,103.64,103.96,102.88,102.885,102.885,1633,0.0,1.0
2020-11-02,104.06,104.655,104.02,104.305,104.305,1163,0.0,1.0
2020-10-30,104.04,104.0464,103.63,103.84,103.84,7527,0.0,1.0
2020-10-29,103.5,104.42,103.3256,104.18,104.18,3444,0.0,1.0
2020-10-28,103.34,104.1056,103.2856,103.62,103.62,4426,0.0,1.0
2020-10-27,103.48,103.48,102.86,102.9,102.9,27565,0.0,1.0
2020-10-26,103.06,103.52,102.8656,103.34,103.34,1486,0.0,1.0
2020-10-23,102.78,103.28,102.61,103.1,103.1,9488,0.0,1.0
2020-10-22,102.48,102.9,102.3456,102.74,102.74,5626,0.0,1.0
2020-10-21,103.3,103.4334,102.14,102.34,102.34,18376,0.0,1.0
2020-10-20,103.96,104.1,103.7,103.84,103.84,2581,0.0,1.0
2020-10-19,103.92,103.92,103.3456,103.54,103.54,8800,0.0,1.0
2020-10-16,104.18,104.56,103.93,104.14,104.14,31943,0.0,1.0
2020-10-15,103.53,104.32,103.44,104.11,104.11,11456,0.0,1.0
2020-10-14,104.38,104.5259,102.97,103.25,103.25,14517,0.0,1.0
2020-10-13,103.24,103.83,102.94,103.67,103.67,8338,0.0,1.0
2020-10-12,103.12,103.36,102.88,102.88,102.88,6283,0.0,1.0
2020-10-09,103.84,104.7136,103.46,103.46,103.46,9489,0.0,1.0
2020-10-08,103.76,104.18,103.6272,104.05,104.05,7412,0.0,1.0
2020-10-07,104.24,104.6,104.0551,104.095,104.095,5635,0.0,1.0
2020-10-06,103.54,104.0,103.46,103.81,103.81,5908,0.0,1.0
2020-10-05,104.16,104.24,103.58,103.71,103.71,7371,0.0,1.0
2020-10-02,104.51,104.5934,103.86,103.95,103.95,23947,0.0,1.0
2020-10-01,104.06,104.96,103.68,104.335,104.335,21008,0.0,1.0
2020-09-30,104.98,104.99,104.05,104.05,104.05,13816,0.0,1.0
2020-09-29,104.48,104.82,104.4,104.635,104.635,3794,0.0,1.0
2020-09-28,105.28,105.4,104.2,104.67,104.67,34557,0.0,1.0
2020-09-25,105.96,105.9951,105.2734,105.95,105.95,10666,0.0,1.0
2020-09-24,105.85,105.9,105.29,105.72,105.72,3244,0.0,1.0
2020-09-23,105.94,106.0951,105.36,105.48,105.48,15331,0.0,1.0
2020-09-22,105.54,105.84,104.6448,105.63,105.63,3521,0.0,1.0
2020-09-21,103.78,105.2951,103.78,105.21,105.21,15319,0.0,1.0
2020-09-18,103.58,104.0,103.52,103.885,103.885,4352,0.0,1.0
2020-09-17,103.78,104.52,103.76,103.87,103.87,6679,0.7292,1.0
2020-09-16,105.18,105.23,104.2,104.255,103.5258,1643,0.0,1.0
2020-09-15,105.43,105.43,104.94,105.38,104.6429,7906,0.0,1.0
2020-09-14,105.6,105.6,104.78,105.17,104.4343,22239,0.0,1.0
2020-09-11,105.4,106.1,105.34,105.96,105.2188,6232,0.0,1.0
2020-09-10,104.0,105.32,103.78,105.23,104.4939,5197,0.0,1.0
2020-09-09,105.12,105.12,104.0,104.075,103.34700000000001,5890,0.0,1.0
