timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-01-29,9472.0,9475.0,9428.42,9469.5,9469.5,4308,0.0,1.0
2021-01-28,9543.0,9543.0,9487.55,9487.55,9477.5,81,0.0,1.0
2021-01-27,9487.0,9545.33,9476.56,9515.0,9515.0,792,0.0,1.0
2021-01-26,9552.0,9553.396,9481.0,9490.0,9490.0,841,0.0,1.0
2021-01-25,9504.0,9536.69,9477.05,9535.5,9535.5,1584,0.0,1.0
2021-01-22,9516.0,9535.55,9495.0,9501.0,9501.0,11222,0.0,1.0
2021-01-21,9469.0,9495.19,9447.05,9468.5,9468.5,334,0.0,1.0
2021-01-20,9559.5,9562.19,9521.12,9559.5,9559.5,110,0.0,1.0
2021-01-19,9552.0,9583.1,9551.18,9572.0,9572.0,267,0.0,1.0
2021-01-18,9594.0,9612.1,9594.0,9598.5,9598.5,130,0.0,1.0
2021-01-15,9540.0,9600.88,9540.0,9578.5,9578.5,771,0.0,1.0
2021-01-14,9545.0,9588.33,9540.81,9540.81,9539.0,379,0.0,1.0
2021-01-13,9486.0,9564.0,9481.18,9555.5,9555.5,149,0.0,1.0
2021-01-12,9485.0,9512.19,9459.0,9471.0,9471.0,551,0.0,1.0
2021-01-11,9608.0,9649.0,9581.52,9594.5,9594.5,682,0.0,1.0
2021-01-08,9562.0,9566.83,9526.0,9552.0,9552.0,1012,0.0,1.0
2021-01-07,9567.0,9567.0,9511.24,9567.0,9571.5,193,0.0,1.0
2021-01-06,9500.0,9588.97,9500.0,9557.5,9557.5,2531,0.0,1.0
2021-01-05,9670.0,9674.18,9624.3,9624.3,9608.0,479,0.0,1.0
2021-01-04,9675.0,9697.83,9660.92,9691.0,9691.0,628,0.0,1.0
2020-12-31,9627.32,9728.78,9627.32,9677.5,9677.5,151,0.0,1.0
2020-12-30,9781.59,9781.59,9671.61,9704.0,9704.0,877,0.0,1.0
2020-12-29,9755.0,9780.83,9755.0,9757.5,9757.5,191,0.0,1.0
2020-12-24,9693.0,9693.0,9693.0,9693.0,9657.0,77,0.0,1.0
2020-12-23,9761.0,9770.86,9690.0,9706.0,9706.0,636,0.0,1.0
2020-12-22,9835.0,9835.0,9746.61,9825.5,9825.5,320,0.0,1.0
2020-12-21,9812.0,9943.06,9812.0,9812.0,9810.0,348,0.0,1.0
2020-12-18,9705.0,9756.06,9694.24,9730.0,9730.0,254,0.0,1.0
2020-12-17,9653.0,9690.06,9630.0,9651.5,9651.5,632,0.0,1.0
2020-12-16,9664.0,9707.0,9664.0,9707.0,9707.0,914,0.0,1.0
2020-12-15,9828.0,9840.05,9783.61,9783.61,9783.61,1264,0.0,1.0
2020-12-14,9771.0,9834.06,9743.24,9827.0,9827.0,325,0.0,1.0
2020-12-11,9905.0,9943.06,9899.06,9907.5,9907.5,291,0.0,1.0
