timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-01-29,157.99,159.66,157.99,158.24,158.24,34198,0.0,1.0
2021-01-28,159.5,159.7889,158.4,158.78,158.78,6065,0.0,1.0
2021-01-27,158.86,160.278,158.86,159.55,159.55,17195,0.0,1.0
2021-01-26,159.89,160.29,159.2609,159.7,159.7,15703,0.0,1.0
2021-01-25,159.73,159.73,158.9638,159.44,159.44,11345,0.0,1.0
2021-01-22,159.11,159.6458,158.3743,159.06,159.06,17841,0.0,1.0
2021-01-21,159.3,159.56,158.43,158.805,158.805,21476,0.0,1.0
2021-01-20,159.99,160.0,158.9725,159.15,159.15,18348,0.0,1.0
2021-01-19,158.66,159.74,158.66,159.16,159.16,11093,0.0,1.0
2021-01-18,159.92,160.1693,158.83,159.21,159.21,8758,0.0,1.0
2021-01-15,158.9,160.1893,158.85,159.55,159.55,8980,0.0,1.0
2021-01-14,158.47,159.82,158.35,159.125,159.125,12650,0.0,1.0
2021-01-13,157.24,159.14,157.24,158.98,158.98,17707,0.0,1.0
2021-01-12,159.89,159.89,158.37,158.51,158.51,25419,0.0,1.0
2021-01-11,159.37,159.94,158.9846,159.24,159.24,8816,0.0,1.0
2021-01-08,159.1,160.1,159.1,159.31,159.31,31981,0.0,1.0
2021-01-07,159.97,160.78,159.38,159.89,159.89,9264,0.0,1.0
2021-01-06,160.38,160.6581,159.98,160.18,160.18,33676,0.0,1.0
2021-01-05,160.93,161.5049,160.52,160.855,160.855,9860,0.0,1.0
2021-01-04,160.02,161.8771,160.02,161.0,161.0,10381,0.0,1.0
2020-12-31,160.9,161.3166,159.78,160.865,160.865,882,0.0,1.0
2020-12-30,160.32,160.7936,159.8129,160.68,160.68,7953,0.0,1.0
2020-12-29,160.68,160.9367,159.5089,160.68,160.68,18638,0.0,1.0
2020-12-24,159.78,160.03,158.8339,160.01,160.01,2902,0.0,1.0
2020-12-23,160.72,160.8047,158.98,159.165,159.165,10421,0.0,1.0
2020-12-22,160.3,160.95,159.6739,160.95,160.95,4053,0.0,1.0
2020-12-21,161.18,161.18,160.02,160.355,160.355,6911,0.0,1.0
2020-12-18,160.43,160.43,159.22,160.15,160.15,18334,0.0,1.0
2020-12-17,159.8,159.97,158.4019,159.68,159.68,40510,0.0,1.0
2020-12-16,159.93,159.93,158.51,158.925,158.925,18661,0.0,1.0
2020-12-15,160.03,160.36,159.25,159.425,159.425,12693,0.0,1.0
2020-12-14,160.03,160.2895,159.2996,159.9,159.9,15772,0.0,1.0
2020-12-11,161.0,161.05,160.2424,160.4,160.4,34524,0.0,1.0
2020-12-10,159.93,160.3063,159.2266,160.19,160.19,8293,0.8299,1.0
2020-12-09,160.5,160.5,159.6091,160.39,159.5601,213673,0.0,1.0
2020-12-08,159.03,160.23,159.03,160.23,159.4009,16196,0.0,1.0
2020-12-07,158.25,159.84,158.25,159.68,158.8538,33518,0.0,1.0
2020-12-04,158.76,159.3762,158.1065,158.615,157.7943,13866,0.0,1.0
2020-12-03,158.72,159.3267,158.1955,158.64,157.8192,65140,0.0,1.0
2020-12-02,159.25,159.25,158.34,158.8,157.9783,11221,0.0,1.0
2020-12-01,158.88,159.37,158.26,158.42,157.6003,13074,0.0,1.0
2020-11-30,159.77,159.8024,158.84,159.24,158.4161,19365,0.0,1.0
2020-11-27,158.85,159.3204,158.63,159.05,158.227,15902,0.0,1.0
2020-11-26,158.6,159.05,158.33,159.05,158.227,44903,0.0,1.0
2020-11-25,158.6,158.8832,157.7099,158.61,157.7893,12491,0.0,1.0
2020-11-24,157.66,158.8935,157.51,158.66,157.8391,17635,0.0,1.0
2020-11-23,157.21,158.43,157.21,158.23,157.4113,13515,0.0,1.0
2020-11-20,157.36,158.11,157.09,158.07,157.2521,29149,0.0,1.0
2020-11-19,157.39,157.5387,156.6392,157.27,156.4562,10921,0.0,1.0
2020-11-18,157.59,157.90200000000002,156.72,156.92,156.1081,27087,0.0,1.0
2020-11-17,156.81,157.21,156.1029,157.01,156.1976,17716,0.0,1.0
2020-11-16,157.36,157.36,155.91,156.91,156.0981,50319,0.0,1.0
2020-11-13,155.78,157.25,155.78,156.45,155.6405,14922,0.0,1.0
2020-11-12,155.73,156.55,155.5443,156.3,155.4913,17431,0.0,1.0
2020-11-11,155.92,155.92,155.0106,155.56,154.7551,13987,0.0,1.0
2020-11-10,155.21,156.0356,155.21,155.35,154.5462,42497,0.0,1.0
2020-11-09,157.23,157.3,155.7,155.7,154.8944,22894,0.0,1.0
2020-11-06,157.73,157.786,156.37,156.7,155.8892,20125,0.0,1.0
2020-11-05,157.14,157.751,156.9,156.9,156.0882,23902,0.0,1.0
2020-11-04,156.22,157.11,155.968,156.495,155.6853,19188,0.0,1.0
2020-11-03,155.68,156.48,155.58,155.65,154.8446,14225,0.0,1.0
2020-11-02,156.48,156.48,155.12,156.41,155.6007,43031,0.0,1.0
2020-10-30,156.16,156.6405,155.3994,155.52,154.7153,76642,0.0,1.0
2020-10-29,157.34,157.34,156.23,156.25,155.4415,16847,0.0,1.0
2020-10-28,156.88,157.6955,156.85,157.33,156.5159,14259,0.0,1.0
2020-10-27,157.4,157.41899999999998,156.04,157.04,156.2274,9135,0.0,1.0
2020-10-26,157.17,157.17,156.17,156.315,155.5062,22572,0.0,1.0
2020-10-23,156.02,156.6655,155.4509,156.53,155.7201,7259,0.0,1.0
2020-10-22,157.24,157.24,155.5584,156.0,155.1928,7543,0.0,1.0
2020-10-21,157.52,157.52,156.1,156.67,155.8593,8970,0.0,1.0
2020-10-20,156.87,157.6132,156.4201,156.78,155.9688,16166,0.0,1.0
2020-10-19,157.05,157.5,156.3389,157.34,156.5259,13318,0.0,1.0
2020-10-16,157.49,157.49,156.1368,156.825,156.0135,9315,0.0,1.0
2020-10-15,156.62,157.36700000000002,156.21,156.93,156.118,40360,0.0,1.0
2020-10-14,156.54,157.2025,156.11,156.39,155.5808,54995,0.0,1.0
2020-10-13,156.46,156.46,155.4752,156.04,155.2326,15515,0.0,1.0
2020-10-12,156.47,156.47,155.3038,155.53,154.7252,255090,0.0,1.0
2020-10-09,155.23,155.86,155.1074,155.55,154.7451,64092,0.0,1.0
2020-10-08,155.02,155.63,154.9961,155.63,154.8247,47940,0.0,1.0
2020-10-07,155.5,155.7895,154.68,155.05,154.2477,145772,0.0,1.0
2020-10-06,154.0,155.76,154.0,155.4,154.5959,13048,0.0,1.0
2020-10-05,155.88,155.88,154.63,154.79,153.9891,10815,0.0,1.0
2020-10-02,155.99,156.1923,154.99,155.37,154.5661,19392,0.0,1.0
