timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-01-29,21.98,22.1925,21.9125,21.97,21.97,42750,0.0,1.0
2021-01-28,22.3625,22.6575,22.1925,22.5338,22.5338,37228,0.0,1.0
2021-01-27,22.81,22.9075,22.56,22.6263,22.6263,55738,0.0,1.0
2021-01-26,23.1575,23.1575,22.9875,23.0125,23.0125,18727,0.0,1.0
2021-01-25,23.295,23.3728,23.1075,23.1788,23.1788,27988,0.0,1.0
2021-01-22,23.145,23.145,22.9225,23.07,23.07,27027,0.0,1.0
2021-01-21,23.325,23.3825,23.2025,23.28,23.28,34331,0.0,1.0
2021-01-20,23.1075,23.225,22.9875,23.1725,23.1725,28078,0.0,1.0
2021-01-19,23.12,23.1625,23.0155,23.0338,23.0338,81815,0.0,1.0
2021-01-18,22.7025,22.7725,22.635,22.7275,22.7275,65146,0.0,1.0
2021-01-15,22.93,22.9575,22.8075,22.8975,22.8975,7286,0.0,1.0
2021-01-14,22.98,23.1575,22.98,23.1163,23.1163,30528,0.0,1.0
2021-01-13,23.055,23.09,22.905,23.0575,23.0575,9424,0.0,1.0
2021-01-12,23.065,23.46,23.015,23.1,23.1,27274,0.0,1.0
2021-01-11,23.3925,23.4125,23.1575,23.285,23.285,26020,0.0,1.0
2021-01-08,23.175,23.355,23.175,23.2812,23.2812,64169,0.0,1.0
2021-01-07,22.945,22.945,22.7275,22.8988,22.8988,17524,0.0,1.0
2021-01-06,22.51,22.7375,22.3375,22.715,22.715,12763,0.0,1.0
2021-01-05,22.41,22.6243,22.3525,22.5387,22.5387,12797,0.0,1.0
2021-01-04,22.4381,22.5825,22.28,22.34,22.34,38648,0.0,1.0
2020-12-31,22.005,22.28,21.885,21.99,21.99,21504,0.0,1.0
2020-12-30,22.245,22.2775,22.09,22.1562,22.1562,22445,0.0,1.0
2020-12-29,21.945,22.06,21.925,22.01,22.01,41722,0.0,1.0
2020-12-24,21.8675,21.8675,21.5,21.5287,21.5287,13310,0.0,1.0
2020-12-23,21.5375,21.56,21.3975,21.4675,21.4675,58512,0.0,1.0
2020-12-22,21.325,21.46,21.275,21.4525,21.4525,16854,0.0,1.0
2020-12-21,21.7,21.755,21.33,21.5075,21.5075,37429,0.0,1.0
2020-12-18,21.5625,21.61,21.5407,21.56,21.56,32108,0.0,1.0
2020-12-17,21.67,21.6825,21.55,21.5863,21.5863,52249,0.0,1.0
2020-12-16,21.72,21.7725,21.6025,21.685,21.685,17461,0.0,1.0
2020-12-15,21.79,21.94,21.65,21.65,21.65,18634,0.0,1.0
2020-12-14,21.7125,21.875,21.7025,21.77,21.77,35845,0.0,1.0
2020-12-11,21.905,22.01,21.83,21.8788,21.8788,17557,0.0,1.0
2020-12-10,21.785,21.94,21.675,21.9175,21.9175,44993,0.0,1.0
2020-12-09,21.6625,21.7125,21.55,21.5675,21.5675,60766,0.0,1.0
2020-12-08,21.3425,21.63,21.3425,21.4925,21.4925,55047,0.0,1.0
2020-12-07,21.67,21.78,21.5775,21.6875,21.6875,39700,0.0,1.0
2020-12-04,21.5475,21.5475,21.295,21.4288,21.4288,32538,0.0,1.0
2020-12-03,21.255,21.3775,21.1225,21.22,21.22,39672,0.0,1.0
2020-12-02,21.08,21.2825,20.9625,21.1525,21.1525,45868,0.0,1.0
2020-12-01,20.86,21.0,20.8225,20.9,20.9,47997,0.0,1.0
2020-11-30,20.8525,21.0475,20.7,20.7,20.7,63709,0.0,1.0
2020-11-27,21.035,21.16,20.9025,21.14,21.14,19005,0.0,1.0
2020-11-26,21.1,21.13,20.945,21.0275,21.0275,27898,0.0,1.0
2020-11-25,20.9925,21.0675,20.8925,20.9563,20.9563,16678,0.0,1.0
2020-11-24,20.9075,21.035,20.84,21.0075,21.0075,17527,0.0,1.0
2020-11-23,20.7425,20.8025,20.575,20.695,20.695,9682,0.0,1.0
2020-11-20,20.5925,20.6425,20.5825,20.6425,20.6425,30806,0.0,1.0
2020-11-19,20.69,20.69,20.5,20.6375,20.6375,29566,0.0,1.0
2020-11-18,20.55,20.8475,20.4175,20.695,20.695,20764,0.0,1.0
2020-11-17,20.65,20.7175,20.47,20.5875,20.5875,16806,0.0,1.0
2020-11-16,20.4,20.65,20.4,20.6238,20.6238,21969,0.0,1.0
2020-11-13,20.1875,20.29,20.1525,20.235,20.235,46867,0.0,1.0
2020-11-12,20.19,20.2225,20.0525,20.21,20.21,44804,0.0,1.0
2020-11-11,20.0325,20.22,20.0325,20.205,20.205,62578,0.0,1.0
2020-11-10,20.02,20.1075,19.8475,19.9775,19.9775,12547,0.0,1.0
2020-11-09,19.7975,20.4,19.76,20.215,20.215,45305,0.0,1.0
2020-11-06,19.4925,19.5975,19.45,19.51,19.51,36558,0.0,1.0
2020-11-05,19.4975,19.6225,19.4825,19.6,19.6,208702,0.0,1.0
2020-11-04,18.9075,19.3325,18.8525,19.3238,19.3238,14970,0.0,1.0
2020-11-03,19.0,19.035,18.86,18.9475,18.9475,81107,0.0,1.0
2020-11-02,18.5475,18.7125,18.5475,18.6363,18.6363,30640,0.0,1.0
2020-10-30,18.32,18.4625,18.32,18.395,18.395,35273,0.0,1.0
2020-10-29,18.63,18.67,18.55,18.61,18.61,8725,0.0,1.0
2020-10-28,18.8975,18.9,18.5175,18.6288,18.6288,43947,0.0,1.0
2020-10-27,18.955,18.9625,18.805,18.8263,18.8263,14387,0.0,1.0
2020-10-26,19.1,19.13,18.9425,19.0175,19.0175,49984,0.0,1.0
2020-10-23,19.09,19.195,19.035,19.13,19.13,40022,0.0,1.0
2020-10-22,18.86,19.0425,18.86,18.9975,18.9975,19841,0.0,1.0
2020-10-21,19.185,19.255,18.8875,18.8875,18.8875,18785,0.0,1.0
2020-10-20,19.085,19.1675,19.055,19.1187,19.1187,29026,0.0,1.0
2020-10-19,19.18,19.215,19.0375,19.0625,19.0625,13909,0.0,1.0
2020-10-16,19.15,19.2075,19.055,19.155,19.155,23465,0.0,1.0
2020-10-15,19.025,19.14,18.9375,19.0325,19.0325,37953,0.0,1.0
2020-10-14,19.41,19.425,19.1675,19.19,19.19,47648,0.0,1.0
2020-10-13,19.2,19.325,19.19,19.2338,19.2338,37423,0.0,1.0
2020-10-12,19.1275,19.2675,19.1275,19.2063,19.2063,20261,0.0,1.0
2020-10-09,19.2625,19.345,19.155,19.2375,19.2375,21218,0.0,1.0
2020-10-08,19.255,19.255,19.0975,19.18,19.18,15315,0.0,1.0
2020-10-07,18.9675,19.1625,18.9675,19.1038,19.1038,11072,0.0,1.0
2020-10-06,18.7825,18.96,18.7525,18.87,18.87,19058,0.0,1.0
2020-10-05,18.7875,18.9475,18.6825,18.8538,18.8538,24649,0.0,1.0
2020-10-02,18.565,18.7775,18.35,18.6388,18.6388,39354,0.0,1.0
2020-10-01,18.7325,18.8975,18.6504,18.7775,18.7775,8069,0.0,1.0
2020-09-30,18.5225,18.665,18.4748,18.5675,18.5675,29184,0.0,1.0
2020-09-29,18.5825,18.6225,18.495,18.5912,18.5912,54405,0.0,1.0
2020-09-28,18.6725,18.6725,18.5525,18.6337,18.6337,34669,0.0,1.0
2020-09-25,18.64,18.665,18.435,18.5263,18.5263,26931,0.0,1.0
2020-09-24,18.5,18.575,18.3386,18.4612,18.4612,14864,0.0,1.0
2020-09-23,19.0875,19.1225,18.8675,18.8675,18.8675,51253,0.0,1.0
2020-09-22,18.79,18.9,18.725,18.815,18.815,46201,0.0,1.0
2020-09-21,18.88,18.9975,18.71,18.72,18.72,21872,0.0,1.0
2020-09-18,19.065,19.205,19.02,19.0512,19.0512,14064,0.0,1.0
2020-09-17,19.03,19.155,18.945,19.0987,19.0987,16890,0.0,1.0
2020-09-16,19.3925,19.425,19.2124,19.2638,19.2638,18807,0.0,1.0
2020-09-15,19.2975,19.44,19.2375,19.4013,19.4013,19564,0.0,1.0
2020-09-14,19.2125,19.355,19.0876,19.1762,19.1762,19420,0.0,1.0
2020-09-11,19.0,19.1497,19.0,19.0975,19.0975,23654,0.0,1.0
2020-09-10,18.8225,18.995,18.6875,18.9875,18.9875,15281,0.0,1.0
2020-09-09,18.635,18.94,18.6325,18.87,18.87,27636,0.0,1.0
