timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-01-29,38.25,38.3586,38.042,38.26,38.26,4918,0.0,1.0
2021-01-28,38.37,38.43,38.16,38.21,38.21,3786,0.0,1.0
2021-01-27,38.22,38.3288,38.0132,38.225,38.225,3022,0.0,1.0
2021-01-26,38.72,38.72,38.17,38.24,38.24,18856,0.0,1.0
2021-01-25,38.21,38.4777,38.1713,38.405,38.405,7402,0.0,1.0
2021-01-22,38.25,38.4053,38.19,38.295,38.295,5805,0.0,1.0
2021-01-21,38.26,38.2854,38.01,38.125,38.125,6024,0.0,1.0
2021-01-20,38.53,38.5666,38.3112,38.48,38.48,2982,0.0,1.0
2021-01-19,38.76,38.76,38.4318,38.535,38.535,11486,0.0,1.0
2021-01-18,38.89,38.89,38.61,38.65,38.65,7260,0.0,1.0
2021-01-15,38.41,38.6,38.25,38.52,38.52,2667,0.0,1.0
2021-01-14,38.5,38.6254,38.36,38.38,38.38,1237,0.0,1.0
2021-01-13,38.35,38.58,38.23,38.5,38.5,6372,0.0,1.0
2021-01-12,38.75,38.8142,38.38,38.38,38.35,24036,0.0,1.0
2021-01-11,39.14,39.28,38.94,38.965,38.965,3944,0.0,1.0
2021-01-08,38.91,39.03,38.76,38.89,38.89,8170,0.0,1.0
2021-01-07,38.85,38.9721,38.64,38.905,38.905,4322,0.0,1.0
2021-01-06,38.89,39.11,38.7,38.915,38.915,17839,0.0,1.0
2021-01-05,39.15,39.24,38.98,39.0,39.0,32896,0.0,1.0
2021-01-04,39.09,39.371,38.91,39.185,39.185,18036,0.0,1.0
2020-12-31,39.2,39.22,38.9458,39.1,39.1,3818,0.0,1.0
2020-12-30,39.25,39.58,39.09,39.215,39.215,2923,0.0,1.0
2020-12-29,39.47,39.64,39.29,39.45,39.45,4682,0.0,1.0
2020-12-24,39.18,39.1898,38.96,39.09,39.09,1242,0.0,1.0
2020-12-23,39.63,39.7,39.1,39.285,39.285,10424,0.0,1.0
2020-12-22,39.46,39.8,39.3,39.755,39.755,4709,0.0,1.0
2020-12-21,39.85,40.11,39.6235,39.645,39.645,5034,0.0,1.0
2020-12-18,39.27,39.48,39.18,39.345,39.345,2990,0.0,1.0
2020-12-17,39.07,39.2098,39.0134,39.075,39.075,6561,0.0,1.0
2020-12-16,39.4,39.52,39.22,39.39,39.39,7833,0.0,1.0
2020-12-15,39.93,39.93,39.5566,39.5566,39.5566,4837,0.0,1.0
2020-12-14,39.53,39.74,39.4146,39.74,39.74,16491,0.0,1.0
2020-12-11,40.02,40.2,39.63,40.035,40.035,11242,0.0,1.0
2020-12-10,39.6,39.8166,39.46,39.735,39.735,6440,0.0,1.0
2020-12-09,39.32,39.6,39.1946,39.35,39.35,9624,0.0,1.0
2020-12-08,39.57,39.7054,39.37,39.475,39.475,19938,0.0,1.0
2020-12-07,39.85,39.92,39.36,39.535,39.535,2562,0.0,1.0
2020-12-04,39.47,39.5186,39.0546,39.195,39.195,9352,0.0,1.0
2020-12-03,39.36,39.5319,39.1134,39.165,39.165,12250,0.0,1.0
2020-12-02,39.46,39.6754,39.33,39.48,39.48,5623,0.0,1.0
2020-12-01,39.58,39.6619,39.2,39.205,39.205,14243,0.0,1.0
2020-11-30,39.39,39.601,39.31,39.405,39.405,6703,0.0,1.0
2020-11-27,39.59,39.6421,39.36,39.59,39.59,2150,0.0,1.0
2020-11-26,39.45,39.58,39.1881,39.47,39.47,9979,0.0,1.0
2020-11-25,39.38,39.58,39.13,39.295,39.295,7594,0.0,1.0
2020-11-24,39.42,39.5954,39.2379,39.375,39.375,19104,0.0,1.0
2020-11-23,39.5,39.58,39.219,39.54,39.54,3060,0.0,1.0
2020-11-20,39.63,39.63,39.63,39.63,39.63,7526,0.0,1.0
2020-11-19,39.64,39.8388,39.64,39.695,39.695,5819,0.0,1.0
2020-11-18,39.72,39.76,39.52,39.645,39.645,4751,0.0,1.0
2020-11-17,39.87,39.92,39.63,39.735,39.735,12150,0.0,1.0
2020-11-16,39.9,40.0543,39.7024,39.905,39.905,7900,0.0,1.0
2020-11-13,40.0,40.01,39.66,39.915,39.915,3288,0.0,1.0
2020-11-12,39.85,40.0354,39.6492,39.985,39.985,4789,0.0,1.0
2020-11-11,39.6,39.8786,39.2436,39.765,39.765,14034,0.0,1.0
2020-11-10,39.58,39.7509,39.29,39.565,39.565,5691,0.0,1.0
2020-11-09,39.93,40.09,39.53,39.815,39.815,5210,0.0,1.0
2020-11-06,39.85,39.9307,39.4,39.595,39.595,3431,0.0,1.0
2020-11-05,40.23,40.3865,39.7969,39.875,39.875,6409,0.0,1.0
2020-11-04,39.72,40.11,39.46,40.035,40.035,6468,0.0,1.0
2020-11-03,39.44,39.6919,39.3,39.3,39.3,6074,0.0,1.0
2020-11-02,39.58,39.7852,39.46,39.685,39.685,7199,0.0,1.0
2020-10-30,39.32,39.58,39.3066,39.425,39.425,1735,0.0,1.0
2020-10-29,39.44,39.7654,39.339,39.645,39.645,4520,0.0,1.0
2020-10-28,39.65,39.8,39.38,39.54,39.54,4379,0.0,1.0
2020-10-27,39.53,39.6042,39.28,39.45,39.45,7782,0.0,1.0
2020-10-26,39.36,39.69,39.2226,39.495,39.495,65237,0.0,1.0
2020-10-23,39.3,39.481,39.03,39.395,39.395,5815,0.0,1.0
2020-10-22,39.2,39.4219,39.08,39.255,39.255,4070,0.0,1.0
2020-10-21,39.85,40.0453,39.26,39.31,39.31,10017,0.0,1.0
2020-10-20,40.0,40.2119,39.88,40.06,40.06,11037,0.0,1.0
2020-10-19,40.0,40.37,39.9573,40.005,40.005,11616,0.0,1.0
2020-10-16,40.22,40.5697,40.1367,40.355,40.355,4712,0.0,1.0
2020-10-15,40.17,40.37,39.93,40.255,40.255,1250,0.0,1.0
2020-10-14,40.51,40.67,39.89,40.005,40.005,2518,0.0,1.0
2020-10-13,40.14,40.28,39.91,40.18,40.18,6701,0.0,1.0
2020-10-12,40.0,40.1727,39.95,39.975,39.975,8905,0.0,1.0
2020-10-09,40.31,40.4,40.0433,40.065,40.065,6818,0.0,1.0
2020-10-08,40.24,40.2547,39.9761,40.135,40.135,1435,0.0,1.0
2020-10-07,40.06,40.34,39.88,39.97,39.97,3851,0.0,1.0
2020-10-06,39.9,40.04,39.62,39.855,39.855,22337,0.0,1.0
2020-10-05,39.75,40.08,39.71,39.8,39.8,5976,0.0,1.0
2020-10-02,40.02,40.0767,39.65,39.79,39.79,2604,0.0,1.0
2020-10-01,40.33,40.3378,39.8653,40.02,40.02,1834,0.0,1.0
2020-09-30,40.0,40.11,39.8068,39.82,39.82,2822,0.0,1.0
2020-09-29,40.17,40.17,39.86,39.945,39.945,9184,0.0,1.0
2020-09-28,40.39,40.44,39.8749,40.005,40.005,4258,0.0,1.0
2020-09-25,40.17,40.4132,40.05,40.355,40.355,1320,0.0,1.0
2020-09-24,40.09,40.2528,39.8988,40.185,40.185,8208,0.0,1.0
2020-09-23,40.68,40.9218,40.3999,40.3999,40.3999,4301,0.0,1.0
2020-09-22,40.7,40.77,40.25,40.6,40.6,2670,0.0,1.0
2020-09-21,40.51,40.5212,40.103,40.415,40.415,1846,0.0,1.0
2020-09-18,40.42,40.52,40.2336,40.34,40.34,3665,0.0,1.0
2020-09-17,40.48,40.74,40.2687,40.425,40.425,1561,0.0,1.0
2020-09-16,40.65,40.9601,40.5932,40.5932,40.5932,2296,0.0,1.0
2020-09-15,40.67,41.0318,40.64,40.94,40.94,3193,0.0,1.0
2020-09-14,40.97,41.0713,40.58,40.72,40.72,3656,0.0,1.0
2020-09-11,41.0,41.16,40.73,40.945,40.945,4090,0.0,1.0
2020-09-10,40.19,40.8,40.16,40.755,40.755,3204,0.0,1.0
2020-09-09,40.51,40.6218,40.28,40.34,40.34,2149,0.0,1.0
