timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-01-29,27.39,27.49,27.11,27.11,27.11,22446,0.0,1.0
2021-01-28,27.53,27.74,27.175,27.61,27.61,27880,0.0,1.0
2021-01-27,28.0,28.0,27.3607,27.6425,27.6425,34536,0.0,1.0
2021-01-26,27.915,28.195,27.915,28.02,28.02,28040,0.0,1.0
2021-01-25,28.425,28.425,27.83,27.8975,27.8975,72739,0.0,1.0
2021-01-22,28.36,28.36,28.0612,28.1725,28.1725,50910,0.0,1.0
2021-01-21,28.405,28.435,28.215,28.2375,28.2375,14648,0.0,1.0
2021-01-20,28.36,28.36,28.1597,28.265,28.265,14094,0.0,1.0
2021-01-19,28.36,28.36,28.165,28.1825,28.1825,30932,0.0,1.0
2021-01-18,28.17,28.25,27.94,28.2,28.2,13810,0.0,1.0
2021-01-15,28.38,28.38,27.96,28.1275,28.1275,9469,0.0,1.0
2021-01-14,28.365,28.41,28.14,28.345,28.345,19925,0.0,1.0
2021-01-13,28.405,28.42,28.1843,28.365,28.365,35940,0.0,1.0
2021-01-12,28.635,28.635,28.2367,28.2825,28.2825,36775,0.0,1.0
2021-01-11,28.81,28.865,28.4412,28.535,28.535,11454,0.0,1.0
2021-01-08,28.895,28.895,28.6,28.705,28.705,12468,0.0,1.0
2021-01-07,28.8337,28.8337,28.475,28.75,28.75,25261,0.0,1.0
2021-01-06,28.26,28.63,28.085,28.63,28.6525,24417,0.0,1.0
2021-01-05,28.075,28.205,27.95,27.9875,27.9875,11780,0.0,1.0
2021-01-04,27.95,28.32,27.895,28.1325,28.1325,54293,0.0,1.0
2020-12-31,27.88,27.88,27.685,27.745,27.745,4090,0.0,1.0
2020-12-30,28.3,28.3,28.0113,28.0113,27.9875,8229,0.0,1.0
2020-12-29,28.185,28.36,28.06,28.225,28.225,23045,0.0,1.0
2020-12-24,27.83,27.83,27.51,27.5775,27.5775,8910,0.0,1.0
2020-12-23,27.605,27.665,27.495,27.665,27.6725,56975,0.0,1.0
2020-12-22,27.475,27.695,27.24,27.685,27.685,7336,0.0,1.0
2020-12-21,27.735,27.735,27.13,27.465,27.465,17650,0.0,1.0
2020-12-18,27.865,28.0,27.79,27.8175,27.8175,33874,0.0,1.0
2020-12-17,27.87,27.875,27.72,27.7375,27.7375,19152,0.0,1.0
2020-12-16,27.665,27.92,27.575,27.81,27.81,13214,0.0,1.0
2020-12-15,27.885,27.8914,27.65,27.65,27.65,6055,0.0,1.0
2020-12-14,27.8,27.85,27.695,27.785,27.785,26279,0.0,1.0
