timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-01-29,57.49,57.72,57.34,57.34,57.255,10135,0.0,1.0
2021-01-28,57.58,58.4,57.23,58.265,58.265,11403,0.0,1.0
2021-01-27,58.79,59.0,58.07,58.17,58.17,4465,0.0,1.0
2021-01-26,59.29,59.35,59.02,59.04,59.04,8239,0.0,1.0
2021-01-25,59.27,59.42,58.75,58.825,58.825,8923,0.0,1.0
2021-01-22,59.09,59.24,58.91,59.155,59.155,13095,0.0,1.0
2021-01-21,59.51,59.65,59.16,59.16,59.16,24329,0.0,1.0
2021-01-20,58.83,59.41,58.75,59.315,59.315,7632,0.0,1.0
2021-01-19,59.07,59.12,58.77,58.81,58.81,9972,0.0,1.0
2021-01-18,58.68,58.92,58.67,58.79,58.79,7815,0.0,1.0
2021-01-15,58.83,58.87,58.49,58.745,58.745,6290,0.0,1.0
2021-01-14,59.12,59.36,59.06,59.095,59.095,6557,0.0,1.0
2021-01-13,59.15,59.17,58.66,59.085,59.085,8389,0.0,1.0
2021-01-12,59.49,59.49,59.03,59.03,58.99,7319,0.0,1.0
2021-01-11,59.66,59.82,59.48,59.605,59.605,14085,0.0,1.0
2021-01-08,59.53,59.562,59.26,59.42,59.42,16532,0.0,1.0
2021-01-07,59.17,59.24,58.54,59.24,59.255,8232,0.0,1.0
2021-01-06,57.65,58.89,57.32,58.8,58.8,6863,0.0,1.0
2021-01-05,57.71,57.96,57.46,57.735,57.735,12951,0.0,1.0
2021-01-04,58.24,58.35,57.75,57.75,57.715,14917,0.0,1.0
2020-12-31,57.77,57.83,57.55,57.675,57.675,3177,0.0,1.0
2020-12-30,58.57,58.57,58.02,58.055,58.055,13122,0.0,1.0
2020-12-29,58.77,58.78,58.4,58.4,58.36,15200,0.0,1.0
2020-12-24,57.71,57.71,57.25,57.305,57.305,8586,0.0,1.0
2020-12-23,57.71,57.94,57.51,57.645,57.645,5618,0.0,1.0
2020-12-22,57.57,58.09,57.57,58.055,58.055,11717,0.0,1.0
2020-12-21,58.32,58.61,57.52,57.65,57.65,11274,0.0,1.0
2020-12-18,57.96,58.05,57.77,57.77,57.74,1105,0.0,1.0
2020-12-17,57.7,57.75,57.5,57.54,57.54,10281,0.0,1.0
2020-12-16,57.83,57.95,57.59,57.84,57.84,33567,0.0,1.0
2020-12-15,57.85,58.18,57.54,57.62,57.62,8547,0.0,1.0
2020-12-14,57.96,58.21,57.73,58.115,58.115,11228,0.0,1.0
2020-12-11,58.26,58.28,58.01,58.09,58.09,12415,0.0,1.0
2020-12-10,58.02,58.29,57.92,58.255,58.255,8197,0.0,1.0
2020-12-09,58.21,58.24,57.88,57.995,57.995,21739,0.0,1.0
2020-12-08,57.83,58.16,57.75,58.045,58.045,20068,0.0,1.0
2020-12-07,58.14,58.29,57.62,58.06,58.06,6928,0.0,1.0
